country,country_code,carry_pct,carry_bps,vol_returns_annual,carry_to_vol_returns,vol_spread_bps_annual,carry_to_vol_spread,data_points,date_range
ANGOLA,ANG,8.751,875.0999999999999,0.33515007006377173,0.26110691244477063,251.4504346202459,3.480208739036874,71,2021-07 to 2026-07
ARGENTINA,ARG,4.304,430.40000000000003,0.4606324828058948,0.0934367453589602,722.4059678683009,0.595786883198153,71,2021-07 to 2026-07
ARMENIA,ARM,4.89,488.99999999999994,0.3286971856471684,0.14876914721287104,113.59244424872632,4.304863789437148,71,2021-07 to 2026-07
AZERBAIJAN,AZE,4.913,491.3,0.4978525883018499,0.09868382962028972,105.11756535512421,4.6738144889506845,71,2021-07 to 2026-07
BAHRAIN,BAH,6.453,645.3000000000001,0.294844662545136,0.21886100783703855,96.83782799728779,6.6637182322808135,71,2021-07 to 2026-07
BARBADOS,BAR,6.26,626.0,0.262029455222148,0.2389044389949514,104.35123249025101,5.99897083207411,71,2021-07 to 2026-07
BENIN,BEN,7.261,726.1,0.2484952203495015,0.2921987791068017,103.67126695001531,7.003869262542015,71,2021-07 to 2026-07
BOLIVIA,BOL,7.37,737.0,0.6532296792702513,0.11282402245154137,641.2126600602605,1.1493846673749977,71,2021-07 to 2026-07
BRAZIL,BRZ,5.999,599.9,0.20087770393145324,0.29863941505658964,60.63537089513068,9.893565276240025,71,2021-07 to 2026-07
CAMEROON,CAM,9.016,901.6,0.5590626335667893,0.16126994470151598,315.6456447083718,2.856367623361309,71,2021-07 to 2026-07
CHINA,CHI,3.602,360.2,0.22080737112103688,0.16312861213430876,31.27240568959969,11.518141698954494,71,2021-07 to 2026-07
CHILE,CHL,4.904,490.4,0.21735568663242183,0.22562096607545098,42.44075691379867,11.554930582318557,71,2021-07 to 2026-07
COLOMBIA,COL,6.001,600.1,0.2568317175785631,0.2336549417096171,95.73949411406659,6.268050667627561,71,2021-07 to 2026-07
COSTA RICA,CR,6.247,624.7,0.19542183410323422,0.31966745316185796,72.50797560142021,8.615603936234624,71,2021-07 to 2026-07
DOMINICAN REPB.,DR,6.062,606.2,0.2386039226507284,0.25406120455419484,87.65330766014465,6.915882767942994,71,2021-07 to 2026-07
ECUADOR,ECU,7.196,719.6,0.4626269215194955,0.15554650335446926,556.1806628518362,1.2938241978968223,71,2021-07 to 2026-07
EGYPT,EGY,7.693,769.3,0.4005714164196126,0.19205064776617295,359.7419414490413,2.1384773676965714,71,2021-07 to 2026-07
EL SALVADOR,ESV,8.025,802.5,0.3194000672935506,0.2512522952170976,418.4118718044272,1.9179666115570977,71,2021-07 to 2026-07
ETHIOPIA,ETH,6.25,625.0,0.8675359657361298,0.0720431226698099,2953.62781142462,0.2116041830262102,54,2021-07 to 2026-05
GABON,GAB,8.222,822.1999999999999,0.5690525226382762,0.14448578422744984,412.08151200447065,1.9952363210875617,71,2021-07 to 2026-07
GEORGIA,GEO,4.692,469.20000000000005,0.5932974069974788,0.07908344018803269,164.3136987444768,2.855513591290097,71,2021-07 to 2026-07
GHANA,GHA,5.262,526.1999999999999,0.5124855823253339,0.10267605921954696,954.0081782597084,0.5515675986760286,71,2021-07 to 2026-07
GUATEMALA,GUA,5.647,564.7,0.274771201177744,0.20551644334615216,80.73480114300152,6.994505368258419,71,2021-07 to 2026-07
HONDURAS,HON,6.758,675.8,0.45440065482125286,0.14872337722881118,217.20362671785963,3.1113660955479436,71,2021-07 to 2026-07
HUNGARY,HUN,5.553,555.3,0.3741280496869493,0.14842511820876458,74.06781990556178,7.497182996718691,71,2021-07 to 2026-07
INDONESIA,IDO,5.064,506.4,0.271990133305251,0.18618322431265322,50.939304184465605,9.941242977449841,71,2021-07 to 2026-07
INDIA,IND,4.414,441.4,0.313354623505018,0.14086276917274573,48.69155252022484,9.065227481022651,71,2021-07 to 2026-07
IRAQ,IRQ,5.802,580.1999999999999,0.6557923468147182,0.08847312763226323,284.95378011346685,2.0361196814759497,71,2021-07 to 2026-07
IVORY COAST,IVY,7.095,709.5,0.39095396374371794,0.1814791678298723,167.80754697055724,4.228057753114559,71,2021-07 to 2026-07
JAMAICA,JAM,6.546,654.6,0.31043131623290954,0.21086790081090548,84.96945722971896,7.703944703686384,71,2021-07 to 2026-07
JORDAN,JOR,6.735,673.5,0.3468114750020185,0.19419772658793374,146.5753940846004,4.594904923886947,71,2021-07 to 2026-07
KAZAKHSTAN,KAZ,5.21,521.0,0.3985881242873577,0.1307113705235209,94.2921453664946,5.525380698201084,71,2021-07 to 2026-07
KENYA,KEN,8.347,834.6999999999999,0.43656596362177563,0.1911967651063042,314.8263065661397,2.6513032189215853,71,2021-07 to 2026-07
SAUDI ARABIA,KSA,4.953,495.3,0.2543995999293224,0.19469370240267866,40.147419683613215,12.337031966270159,71,2021-07 to 2026-07
LEBANON,LEB,18.169,1816.9,0.5744008825598765,0.3163121880841824,22691.4942959451,0.08006964972442007,71,2021-07 to 2026-07
